195.85,196,196,196,196,196,162.28,196,196,196,196,196,196,196,196,196,196
196.74,196.74,196.74,196.74,196.74,196.74,196.74,196.74,196.74,196.74,196.74,196.74,196.74,196.74,196.74,196.74,196.74
194.21,194.29,194.29,194.29,194.29,194.29,194.29,194.29,194.29,194.29,194.29,194.29,194.29,194.29,194.29,194.29,194.29
183.34,183.86,183.86,183.86,183.86,183.86,183.86,183.86,183.86,183.86,183.86,183.86,183.86,183.86,183.86,183.86,183.86
183.64,184.16,184.16,184.16,184.16,184.16,184.16,184.16,184.16,184.16,184.16,184.16,184.16,184.16,184.16,184.16,184.16
180.44,134.06,134.06,134.06,134.06,134.06,134.06,134.06,184.31,184.31,184.31,183.64,183.64,183.64,134.06,134.06,134.06
179.99,132.35,132.35,132.35,132.35,132.35,75.78,75.78,185.95,185.95,185.95,185.95,185.95,185.95,132.35,132.35,132.35
180.81,132.5,132.5,132.5,132.5,132.5,132.5,132.5,191.38,191.38,191.38,190.64,190.64,190.64,132.5,132.5,132.5
179.77,147.09,147.09,147.09,147.09,147.09,147.09,147.09,189.67,189.67,189.67,189.67,189.67,189.67,147.09,147.09,147.09
180.59,154.31,154.31,154.31,154.31,154.31,154.31,154.31,190.12,190.12,190.12,190.12,190.12,190.12,154.31,154.31,154.31
192.35,184.31,184.31,184.31,184.31,184.31,184.31,184.31,194.06,194.06,194.06,194.06,194.06,194.06,184.31,184.31,184.31
193.99,191.16,191.16,191.16,191.16,191.16,191.16,191.16,194.43,194.43,194.43,194.43,194.43,194.43,191.16,191.16,191.16
192.5,179.32,179.32,179.32,179.32,179.32,123.27,148.8,194.73,194.73,194.73,194.73,194.73,194.73,179.32,179.32,179.32
193.24,186.17,186.17,186.17,186.17,186.17,98.33,186.17,194.96,194.96,194.96,194.96,194.96,194.96,186.17,186.17,186.17
193.76,192.13,192.13,192.13,192.13,192.13,68.11,192.13,194.96,194.96,194.96,194.96,194.96,194.96,192.13,192.13,192.13
