t,E,V,T,v
1440,79200.0,0.20102389152642125,342.7271852640736,0.0
1440,0.0,0.112,49.829294470927145,0.0
1441,0.0,0.1048,49.65929786187443,0.0
1442,0.0,0.10192000000000001,49.49000710913129,0.0
1443,0.0,0.10076800000000001,49.32141916222749,0.0
1444,0.0,0.10030720000000001,49.15353098387587,0.0
1445,0.0,0.16012288000000002,49.06993526689563,0.0
1446,0.0,0.18404915200000002,48.98650578047532,0.0
1447,0.0,0.1936196608,48.90324216541905,0.0
1448,0.0,0.19744786432,48.82014406330709,0.0
1449,0.0,0.19897914572800002,48.73721111649419,0.0
1450,120.0,0.13959165829120002,53.852780619721614,0.0
1451,240.0,0.11583666331648002,58.94621356509036,0.0
1452,360.0,0.10633466532659201,64.01760561925413,0.0
1453,480.0,0.10253386613063681,69.06705203542796,0.0
1454,600.0,0.10101354645225473,74.094647655175,0.0
1455,720.0,0.1604054185809019,76.59756728268025,0.0
1456,840.0,0.18416216743236077,79.09507852766346,0.0
1457,960.0,0.19366486697294433,81.58719307671706,0.0
1458,1080.0,0.19746594678917773,84.07392259118069,0.0
1459,1200.0,0.1989863787156711,86.55527870719588,0.0
1460,1320.0,0.13959455148626845,91.50726736432493,0.0
1461,1440.0,0.11583782059450738,96.43785521528491,0.0
1462,1560.0,0.10633512823780296,101.34713474706165,0.0
1463,1680.0,0.10253405129512119,106.23519804694374,0.0
1464,1800.0,0.10101362051804848,111.10213680424992,0.0
1465,1800.0,0.1604054482072194,110.88453665814946,0.0
1466,1800.0,0.18416217928288775,110.66740670885996,0.0
1467,1800.0,0.1936648717131551,110.4507459403663,0.0
1468,1800.0,0.19746594868526204,110.23455333884878,0.0
1469,1800.0,0.19898637947410483,110.0188278926784,0.0
1470,1920.0,0.19959455178964194,112.41737447004041,0.0
1471,2040.0,0.1998378207158568,114.8264787928972,0.0
1472,2160.0,0.19993512828634272,117.23684045813947,0.0
1473,2280.0,0.1999740513145371,119.64464095802644,0.0
1474,2400.0,0.19998962052581484,122.04831716143599,0.0
1475,2520.0,0.19999584821032595,124.44723352275109,0.0
1476,2640.0,0.19999833928413038,126.84113574780464,0.0
1477,2760.0,0.19999933571365217,129.2299261244946,0.0
1478,2880.0,0.19999973428546086,131.61357119587788,0.0
1479,3000.0,0.19999989371418436,133.99206384622389,0.0
1480,3120.0,0.19999995748567376,136.36540774275804,0.0
1481,3240.0,0.19999998299426952,138.73361095560242,0.0
1482,3360.0,0.1999999931977078,141.09668334319622,0.0
1483,3480.0,0.19999999727908313,143.45463548151352,0.0
1484,3600.0,0.19999999891163325,145.80747822581017,0.0
1485,3600.0,0.1999999995646533,145.51466963137372,0.0
1486,3600.0,0.19999999982586134,145.2224937706972,0.0
1487,3600.0,0.19999999993034454,144.93094926193788,0.0
1488,3600.0,0.19999999997213783,144.64003473502055,0.0
1489,3600.0,0.19999999998885515,144.3497488263349,0.0
1490,3600.0,0.19999999999554208,144.060090177025,0.0
1491,3600.0,0.19999999999821683,143.7710574306642,0.0
1492,3600.0,0.19999999999928675,143.482649234783,0.0
1493,3600.0,0.1999999999997147,143.1948642398343,0.0
1494,3600.0,0.19999999999988588,142.9077010991871,0.0
1495,3720.0,0.19999999999995435,145.26171136911623,0.0
1496,3840.0,0.19999999999998175,147.61063502425577,0.0
1497,3960.0,0.1999999999999927,149.95448305591148,0.0
1498,4080.0,0.1999999999999971,152.2932664316396,0.0
1499,4200.0,0.19999999999999885,154.62699609529778,0.0
1500,4320.0,0.19999999999999954,156.95568296709592,0.0
1501,4440.0,0.19999999999999982,159.27932353811744,0.0
1502,4560.0,0.19999999999999993,161.5979287125578,0.0
1503,4680.0,0.19999999999999998,163.91150937105039,0.0
1504,4800.0,0.2,166.22007637071738,0.0
1505,4920.0,0.14,170.82720471972382,0.0
1506,5040.0,0.116,175.41439382014332,0.0
1507,5160.0,0.10640000000000001,179.98172984260825,0.0
1508,5280.0,0.10256000000000001,184.52929858535094,0.0
1509,5400.0,0.101024,189.057185475813,0.0
1510,5400.0,0.22040960000000004,182.13809051871772,0.0
