t,E,V,T,v
1440,17400.0,0.19998962051467195,59.366527426571295,0.0
1440,0.0,0.112,49.829294470927145,0.0
1441,0.0,0.1048,49.65929786187443,0.0
1442,0.0,0.10192000000000001,49.49000710913129,0.0
1443,0.0,0.10076800000000001,49.32141916222749,0.0
1444,0.0,0.10030720000000001,49.15353098387587,0.0
1445,120.0,0.16012288000000002,50.90933215320628,0.0
1446,240.0,0.18404915200000002,53.120908079543675,0.0
1447,360.0,0.1936196608,55.52199833706446,0.0
1448,480.0,0.19744786432,58.001625985627605,0.0
1449,600.0,0.19897914572800002,60.512088217908016,0.0
1450,600.0,0.1995916582912,60.40387656793484,0.0
1451,600.0,0.19983666331648,60.29588433935533,0.0
1452,600.0,0.19993466532659201,60.18811105803728,0.0
1453,600.0,0.1999738661306368,60.08055625087298,0.0
1454,600.0,0.19998954645225472,59.97321944577705,0.0
1455,600.0,0.1399958185809019,59.75898089759132,0.0
1456,600.0,0.11599832743236077,59.54566821534777,0.0
1457,600.0,0.10639933097294431,59.33327739776954,0.0
1458,600.0,0.10255973238917773,59.12180446087194,0.0
1459,600.0,0.1010238929556711,58.91124543788771,0.0
1460,600.0,0.16040955718226846,58.80642090854014,0.0
1461,600.0,0.1841638228729074,58.70182288712602,0.0
1462,600.0,0.19366552914916296,58.59745088420032,0.0
1463,600.0,0.1974662116596652,58.49330441137563,0.0
1464,600.0,0.1989864846638661,58.38938298131986,0.0
1465,600.0,0.13959459386554646,58.18198923418806,0.0
1466,600.0,0.11583783754621858,57.9754917721026,0.0
1467,600.0,0.10633513501848743,57.76988672162518,0.0
1468,600.0,0.10253405400739497,57.56517022605717,0.0
1469,600.0,0.10101362160295799,57.36133844536729,0.0
1470,600.0,0.1604054486411832,57.259863000743415,0.0
1471,600.0,0.18416217945647329,57.1585924217221,0.0
1472,600.0,0.19366487178258932,57.05752626562371,0.0
1473,600.0,0.19746594871303574,56.956664090725155,0.0
1474,600.0,0.1989863794852143,56.85600545625786,0.0
1475,600.0,0.13959455179408573,56.655094388553444,0.0
1476,600.0,0.1158378207176343,56.455022778905956,0.0
1477,600.0,0.10633512828705372,56.25578699946396,0.0
1478,600.0,0.10253405131482149,56.057383438054345,0.0
1479,600.0,0.1010136205259286,55.8598084981146,0.0
1480,600.0,0.22040544821037145,54.45992302980715,0.0
1481,600.0,0.2681621792841486,53.885022522032585,0.0
1482,600.0,0.28726487171365944,53.621414227904225,0.0
1483,600.0,0.2949059486854638,53.47936120589424,0.0
1484,600.0,0.2979623794741856,53.3854479295727,0.0
1485,600.0,0.17918495178967425,53.19924731731552,0.0
1486,600.0,0.13167398071586972,53.01385140060337,0.0
1487,600.0,0.11266959228634789,52.829256701816554,0.0
1488,600.0,0.10506783691453916,52.64545975836443,0.0
1489,600.0,0.10202713476581567,52.462457122620506,0.0
1490,600.0,0.2208108539063263,51.209406573224456,0.0
1491,600.0,0.26832434156253054,50.693494431618895,0.0
1492,600.0,0.28732973662501227,50.45579827121971,0.0
1493,600.0,0.2949318946500049,50.326754201440394,0.0
1494,600.0,0.297972757860002,50.24074599443681,0.0
1495,600.0,0.1791891031440008,50.068135711486306,0.0
1496,600.0,0.13167564125760034,49.896271391312375,0.0
1497,600.0,0.11267025650304013,49.72514981011829,0.0
1498,600.0,0.10506810260121606,49.55476775803948,0.0
1499,600.0,0.10202724104048642,49.38512203908333,0.0
1500,720.0,0.16081089641619456,51.147044221090155,0.0
1501,840.0,0.18432435856647783,53.360830888491904,0.0
1502,960.0,0.19372974342659113,55.76244945039419,0.0
1503,1080.0,0.19749189737063647,58.24183883207857,0.0
1504,1200.0,0.19899675894825458,60.75171154568193,0.0
1505,1200.0,0.19959870357930184,60.631051403252556,0.0
1506,1200.0,0.19983948143172076,60.51759452187454,0.0
1507,1200.0,0.19993579257268831,60.40714206406355,0.0
1508,1200.0,0.19997431702907534,60.298019984111704,0.0
1509,1200.0,0.19998972681163013,60.18956044536813,0.0
1510,1200.0,0.13999589072465207,59.973666668668294,0.0
1511,1200.0,0.11599835628986083,59.758677100184016,0.0
1512,1200.0,0.10639934251594434,59.544587832235756,0.0
1513,1200.0,0.10255973700637774,59.33139497403163,0.0
1514,1200.0,0.1010238948025511,59.11909465159444,0.0
1515,1200.0,0.16040955792102043,59.013388829641706,0.0
1516,1200.0,0.18416382316840818,58.907911419945464,0.0
1517,1200.0,0.19366552926736327,58.802661928945774,0.0
1518,1200.0,0.1974662117069453,58.697639864149195,0.0
1519,1200.0,0.19898648468277813,58.59284473412648,0.0
1520,1200.0,0.13959459387311127,58.383707362894086,0.0
