t,E,V,T,v
1440,163800.0,0.2,464.0319506301017,0.0
1440,120.0,0.17200000000000001,51.97479762046357,0.0
1441,240.0,0.18880000000000002,54.276883470670356,0.0
1442,360.0,0.19552000000000003,56.71550622304765,0.0
1443,480.0,0.19820800000000002,59.20993531389646,0.0
1444,600.0,0.19928320000000002,61.72534227683987,0.0
1445,720.0,0.19971328000000002,64.24665650737478,0.0
1446,840.0,0.199885312,66.76737668608789,0.0
1447,960.0,0.19995412480000002,69.28471380488963,0.0
1448,1080.0,0.19998164992,71.7974806044151,0.0
1449,1200.0,0.199992659968,74.30517770359891,0.0
1450,1320.0,0.19999706398720002,76.807599790376,0.0
1451,1440.0,0.19999882559488003,79.3046667382861,0.0
1452,1560.0,0.19999953023795203,81.79635150544942,0.0
1453,1680.0,0.1999998120951808,84.28264947672093,0.0
1454,1800.0,0.19999992483807233,86.76356547477634,0.0
1455,1920.0,0.19999996993522895,89.23910827481781,0.0
1456,2040.0,0.19999998797409158,91.70930270035393,0.0
1457,2160.0,0.19999999518963663,94.17415981097707,0.0
1458,2280.0,0.19999999807585467,96.63369093267971,0.0
1459,2400.0,0.19999999923034187,99.08790748796804,0.0
1460,2520.0,0.19999999969213675,101.5368209250041,0.0
1461,2640.0,0.1999999998768547,103.98044268812308,0.0
1462,2760.0,0.19999999995074189,106.41878420560475,0.0
1463,2880.0,0.19999999998029677,108.8518568846274,0.0
1464,3000.0,0.1999999999921187,111.27967210920687,0.0
1465,3120.0,0.19999999999684748,113.7022412393744,0.0
1466,3240.0,0.199999999998739,116.11957561086773,0.0
1467,3360.0,0.1999999999994956,118.53168653503452,0.0
1468,3480.0,0.19999999999979826,120.93858529882368,0.0
1469,3600.0,0.1999999999999193,123.34028316481262,0.0
1470,3720.0,0.19999999999996773,125.73679137124957,0.0
1471,3840.0,0.1999999999999871,128.1281067265719,0.0
1472,3960.0,0.19999999999999485,130.51424045164458,0.0
1473,4080.0,0.19999999999999796,132.89520374308665,0.0
1474,4200.0,0.19999999999999918,135.2710077733234,0.0
1475,4320.0,0.19999999999999968,137.64166369063844,0.0
1476,4440.0,0.19999999999999987,140.00718261922597,0.0
1477,4560.0,0.19999999999999996,142.36757565924268,0.0
1478,4680.0,0.19999999999999998,144.72285388685967,0.0
1479,4800.0,0.2,147.0730283543144,0.0
1480,4920.0,0.2,149.41811008996228,0.0
1481,5040.0,0.2,151.75811009832836,0.0
1482,5160.0,0.2,154.09303936015874,0.0
1483,5280.0,0.2,156.42290883247205,0.0
1484,5400.0,0.2,158.74772944861064,0.0
1485,5520.0,0.2,161.0675121182918,0.0
1486,5640.0,0.2,163.38228213318862,0.0
1487,5760.0,0.2,165.69205032479334,0.0
1488,5880.0,0.2,167.99682750119322,0.0
1489,6000.0,0.2,170.29662444712105,0.0
1490,6120.0,0.2,172.59145192400564,0.0
1491,6240.0,0.2,174.88132067002223,0.0
1492,6360.0,0.2,177.16624140014267,0.0
1493,6480.0,0.2,179.44622480618557,0.0
1494,6600.0,0.2,181.7212815568664,0.0
1495,6720.0,0.2,183.99142229784724,0.0
1496,6840.0,0.2,186.25665765178684,0.0
1497,6960.0,0.2,188.51699821839014,0.0
1498,7080.0,0.2,190.7724545744579,0.0
1499,7200.0,0.2,193.02303727393624,0.0
1500,7320.0,0.2,195.26875684796602,0.0
1501,7440.0,0.2,197.5096093994022,0.0
1502,7560.0,0.2,199.7456054450507,0.0
1503,7680.0,0.2,201.9767554789924,0.0
1504,7800.0,0.2,204.20306997263225,0.0
1505,7920.0,0.2,206.4245593747483,0.0
1506,8040.0,0.2,208.64123411154057,0.0
1507,8160.0,0.2,210.85310458667985,0.0
1508,8280.0,0.2,213.06018118135634,0.0
1509,8400.0,0.2,215.26247425432828,0.0
1510,8520.0,0.2,217.4599941419704,0.0
1511,8640.0,0.2,219.6527511583223,0.0
1512,8760.0,0.2,221.84075559513667,0.0
1513,8880.0,0.2,224.0240177219275,0.0
1514,9000.0,0.2,226.20254778601807,0.0
1515,9120.0,0.2,228.37635601258899,0.0
1516,9240.0,0.2,230.54546701025586,0.0
1517,9360.0,0.2,232.70989092892938,0.0
1518,9480.0,0.2,234.86963789658805,0.0
1519,9600.0,0.2,237.02471801932546,0.0
1520,9720.0,0.2,239.17514138139774,0.0
1521,9840.0,0.2,241.32091804527062,0.0
1522,9960.0,0.2,243.46205805166653,0.0
1523,10080.0,0.2,245.5985714196117,0.0
1524,10200.0,0.2,247.73046814648285,0.0
1525,10320.0,0.2,249.85775820805412,0.0
1526,10440.0,0.2,251.98045155854373,0.0
1527,10560.0,0.2,254.0985581306605,0.0
1528,10680.0,0.2,256.2120878356504,0.0
1529,10800.0,0.2,258.32105056334274,0.0
1530,10920.0,0.2,260.4254561821968,0.0
1531,11040.0,0.2,262.5253145393477,0.0
1532,11160.0,0.2,264.6206354606526,0.0
1533,11280.0,0.2,266.7114287507366,0.0
1534,11400.0,0.2,268.7977041930388,0.0
1535,11520.0,0.2,270.8794715498578,0.0
1536,11640.0,0.2,272.95674056239767,0.0
1537,11760.0,0.2,275.0295209508133,0.0
1538,11880.0,0.2,277.0978224142561,0.0
1539,12000.0,0.2,279.16165463091914,0.0
1540,12120.0,0.2,281.22102725808264,0.0
1541,12240.0,0.2,283.2759499321591,0.0
1542,12360.0,0.2,285.3264322687383,0.0
1543,12480.0,0.2,287.37248386263246,0.0
1544,12600.0,0.2,289.41411428792094,0.0
1545,12720.0,0.2,291.45133309799525,1.0
1546,12840.0,0.2,285.9426953151662,0.0
1547,12960.0,0.2,287.987415269701,0.0
1548,13080.0,0.2,290.02771693307574,0.0
1549,13200.0,0.2,292.0636098524642,0.0
1550,13320.0,0.2,294.0951035544104,0.0
1551,13440.0,0.2,296.12220754487305,0.0
1552,13560.0,0.2,298.1449313092702,0.0
1553,13680.0,0.2,300.1632843125234,0.0
1554,13800.0,0.2,302.1772759991022,0.0
1555,13920.0,0.2,304.1869157930683,0.0
1556,14040.0,0.2,306.1922130981195,0.0
1557,14160.0,0.2,308.19317729763395,0.0
1558,14280.0,0.2,310.1898177547138,0.0
1559,14400.0,0.2,312.1821438122291,0.0
1560,14520.0,0.2,314.1701647928618,0.0
1561,14640.0,0.2,316.15388999914876,0.0
1562,14760.0,0.2,318.13332871352594,0.0
1563,14880.0,0.2,320.1084901983714,0.0
1564,15000.0,0.2,322.0793836960488,0.0
1565,15120.0,0.2,324.0460184289507,0.0
1566,15240.0,0.2,326.0084035995415,0.0
1567,15360.0,0.2,327.9665483904008,0.0
1568,15480.0,0.2,329.92046196426617,1.0
1569,15600.0,0.2,323.25001612258734,0.0
1570,15720.0,0.2,325.2141213184295,0.0
